companyName,description,countryOfCompany,categoryOfCompany,email,
Mo-Link Technology Ltd.,Mo-Link Technology Limited is an interconnect cable company specialized in high speed cable for device connectivity.,Canada,"Accessories,Home Entertainment Hardware,Home Office Hardware and Accessories,Mobile Hardware and Accessories,Video Technologies",info@mo-link.ca,
MoNoA,"MoNoA created a unique wearable that tracks your stress level all day, accompanied by a coaching platform/app where your stress data are analysed to see the impact of stress on your physical and mental health. Our certified MoNoA coaches are there for you in the app whenever you need it, to guide you to a more balanced and healthy life.",Belgium,,info@monoa.tech,
Monogoto,"Monogoto is a cloud-based cellular network. Its API-driven Infrastructure-as-a-Service was designed to enable cellular connectivity with existing enterprise IT infrastructure. Monogoto offers cellular connectivity and security for IoT, Private LTE, and 5G use cases with full network audit, anomaly detection and alerts automation.",Israel,,,
Monokee Srl,,Italy,,,
"Monoprice, Inc.",,United States of America,,,
Moodo,,Israel,"Family and Lifestyle,IoT/Sensors,Smart Home and Appliances,Travel and Tourism,Wellness Technologies",,
MoonBikes Motors,,United States of America,,,
LG Electronics VS Company,,South Korea,,,
"LG Innotek Co., Ltd.",,South Korea,,,
Lidwave,"Lidwave is disrupting the 3D-sensing world, inventing a 'new-class' of sensing architecture (LiDAR), relying on a simple hardware framework. 





Our cutting-edge sensing solution offers 50X cost reduction and holds a great promise to become the 'engine' in large and diverse industries.",Israel,,contact@lidwave.com,
Lify Air,"LIFY AIR is dedicated to the improve of the daily life of pollen allergic people, providing a solution able to deliver real time information about pollen peaks.
The technology is based on a patented innovative sensor, coupled with Artificial intelligence algorithms.",France,,contact@lifyair.com,
Light Touch Technology Inc.,,Japan,"Digital Health,Fitness and Wearables,IoT/Sensors,Startups,Wellness Technologies",,
Light Tree Ventures,"We are the world's largest company specializing in the Research, Development, and Manufacturing of LED Light Therapy products for the beauty, sports, health, and wellness sectors. We offer ready-to-go and custom devices (Private/white label). We can take your idea from concept to market.",Netherlands,,hello@lighttreeventures.com,
Lightchaser Inc (DBA Speedfox Inc),,United States of America,,,
lightScience s.r.l.,,United States of America,,,
Lilliput Electronics (USA) Inc.,,United States of America,"Home Office Hardware and Accessories,Mobile Hardware and Accessories,Streaming,Vehicle Tech,Video Technologies",,
LiLz Inc.,,Japan,,,
"Limitless Innovations, Inc.","Limitless Innovations has operated as a small, family-owned business with a passion for conceptualizing and developing products that help consumers simplify, charge, and enjoy their life. Limitless has grown from the single idea of cable organization into developing a line of products that spans across three different industries.",United States,,sales@limitlessinnovations.com,
MAXPRO Fitness,"MAXPRO represents a new direction in the at-home fitness movement — making cable workouts possible anytime, anywhere. With the MAXPRO Performance & Coaching App you never have to miss a workout- from detailed analytics to coached classes you get the best of both: Portability and Connectivity- wherever you are!",United States of America,"Accessibility,Fitness and Wearables,Wellness Technologies",,
MAXSA Innovations LLC,,United States,,info@maxsainnovations.com,
"May Co., Ltd.","May is Korea's only manufacturer of micro-display LCOS panels that has clean rooms for panel manufacturing. 
We have developed automated facilities for production of LCOS panels and raw materials such as wafer design and liquid crystal. 
4K UHD resolution panels and drive boards have been developed and are currently on sale. 
We are curre",South Korea,AR/VR/XR,may@may-display.com,
Maydix LLC,"MAYDIX LLC is a standard, licensed and register GPS person tracking company that is located in Stockbridge, GA. USA. We are passionate in the pursuit of excellence and financial success with uncompromising services and integrity which is why we have decided to start our on GPS tracking business; we are in the ind. to make a positive mark.",United States of America,"Fitness and Wearables,Mobile Hardware and Accessories,Startups,Wellness Technologies",Maydix2020@maydix.com,
"McAfee, LLC",,United States of America,,,
"MCNEX Co., Ltd.","MCNEX is leading technology to respond to the future change with innovation through continuous research and technological development.

- Mobile Camera  (Tier 1 supplier)
- Automotive Camera (Tier 1 supplier ADAS system, etc.)
- Biometrics (Finger print, Iris recognition, etc.)
- Actuator (Actuator, encoders, OIS , etc.)",South Korea,"Fitness and Wearables,IoT/Sensors,Mobile Hardware and Accessories,Vehicle Tech",john.chae@mcnex.com,
MediaTek Singapore PTE Ltd.,,Singapore,,,
Medicsen,,Spain,,info@medicsen.com,
"MedWand Solutions, Inc.",,United States of America,"Artificial Intelligence,Digital Health",,
MeereCompany Inc.,,South Korea,,,
"Megnosis Co., Ltd.",We are making a portable device to diagnose dementia and depression based on EEG. We also making a portable device to slow cognitive decline and to relieve depression by transcranial current stimulation and EEG biofeedback.,South Korea,"Digital Health,Fitness and Wearables,Mobile Hardware and Accessories,Startups,Wellness Technologies",contact@megnosis.com,
Meizhou Guo Wei Electronics Co. LLC,,United States of America,,,
melascann,,Morocco,"Artificial Intelligence,Digital Health,Startups",,
Melody International Ltd.,"“Fetal Monitor iCTG” has obtained Japan’s Pharmaceutical Affairs regulatory approval. Obtained ISO 13485: 2016 on July 22, 2020. US FDA will be obtained by mid of 2022. CE mark and Saudi Arabia FDA are under preparing.",Japan,"Digital Health,IoT/Sensors,Mobile Hardware and Accessories,Startups,Sustainability",e-support@melodyi.net,
Memslux Inc.,"MEMSLUX's key technology is to produce a unique and magical lighting sheet that is normally transparent and flexible but emits a uniform light only in the front side when side LEDs are on. No competitors (including transparent OLED, transparent LCD, and conventional light guide plate) can show this unique characteristics.",South Korea,"Marketing and Advertising,Accessories,Family and Lifestyle,Startups,Vehicle Tech",info@memslux.com,
Mensior,,Italy,,,
Meta Materials Inc.,"META® delivers previously unachievable performance, across a range of applications, by inventing, designing, developing, and manufacturing sustainable, highly functional materials. Our extensive tech platform enables leading global brands to deliver breakthrough products in consumer electronics, 5G, automotive, healthcare and more.",Canada,"5G Technologies,AR/VR/XR,Smart Cities and Resilience,Vehicle Tech,Wellness Technologies",info@metamaterial.com,
Luminar Technologies,"Luminar (Nasdaq: LAZR) is transforming automotive safety and autonomy by delivering lidar and associated software that meets the industry’s stringent performance, safety, and economic requirements. Luminar has rapidly gained over 50 industry partners, including a majority of the top global automotive OEMs.",United States,Vehicle Tech,explore@luminartech.com,
"Lumotive, LLC","Lumotive is a leader in solid-state, 3D-sensing systems, developing high-performance solutions for consumer electronics, industrial automation, robotics and automotive applications.",United States of America,,info@lumotive.com,
Luple,"The launch of ‘LUPLE’ originated from the idea of improving the quality of sleep as well as the quality of life by mimicking natural sunlight and AI technology.
We’re focusing on ways to deal with sleep problems or people lacking light due to longer hours of staying indoors in this pandemic situation.",South Korea,"Digital Health,Home Office Hardware and Accessories,Wellness Technologies",,
